"登记ID","参考素材ID","实际文件名","实际文件路径","资产类别","映射生产资产ID","所属生产包","关联AI段落","映射场景视图ID或用途","文件版本","尺寸或音频规格","字节数","SHA256","主创指定状态","连续性备注"
"QNXY-S3-AI02-REG-001","QNXY-REF-047","小院林如蔚01.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\人物\小院林如蔚01.png","人物锁定图／女主小院常服","QNXY-CHR-P0-002-林如蔚|QNXY-CST-P0-002-林如蔚湖岸常服A","QNXY-PKG-07","AI-02","林如蔚整理药草、在小舟仍处远湖时听见桨声水声起身去院门、隔湖挥手、接蓝色布包与以衣袖擦汗的身份和服装锚点","V1.0","1672x941","2101018","E92165642E791179177DAE5E66FC9511E38CE15C112F293EA9AF7112F2B1B1A9","已登记（主创指定为本段女主锁定）","画面含近景与正侧背全身；上述动作及衣袖擦汗关键动作全部由逐镜Prompt控制，不要求预制关键帧；冷珠颈戴在该图中不可确认，进入镜头时须由Prompt明确颈戴或衣领自然遮挡"
"QNXY-S3-AI02-REG-002","QNXY-REF-048","回家苏珏.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\人物\回家苏珏.png","人物锁定图／男主归家常服","QNXY-CHR-P0-001-苏珏|QNXY-CST-P0-001-苏珏湖岸常服A|QNXY-PRP-P2-008-苏珏随身行囊","QNXY-PKG-07","AI-02","苏珏站在船头持蓝色布包归家、隔湖挥手、下船、步行回院和递出蓝色布包的身份、服装与基础手持锚点","V1.0","1672x941","2500511","A310DC9B9BB3A4A01E8B0FDAF006B01CA6D9809E90FF9F204DA79E0107551C95","已登记（主创指定为本段男主锁定）","图中蓝色布包可作为造型起点；船头站立、下船及递包关键动作全部由逐镜Prompt控制，不要求预制关键帧；同时出现的卷轴与浅色坠饰禁止自动继承为本场叙事道具"
"QNXY-S3-AI02-REG-003","QNXY-REF-049","林如薇参考音.mp3","D:\003-AI制作\002-制作项目\012-千年寻缘\声音\林如薇参考音.mp3","女主音色参考","QNXY-VOI-P0-002-林如蔚基础音色|QNXY-VOI-P0-004-林如蔚AI02画外音","QNXY-PKG-07","AI-02","林如蔚基础音色与AI-02画外音表演方向参考","V1.0","MP3；约00:00:05；192kbps","134841","F12156DA410243D481CF79931976B855A9EB87E9CC7CD62B3DB353223C365AFB","已登记（音色参考；非正式台词成品）","实际文件名写作“林如薇”，项目角色名仍锁定为“林如蔚”；不得据文件名更改角色姓名"
"QNXY-S3-AI02-REG-004","QNXY-REF-050","苏珏参考音.mp3","D:\003-AI制作\002-制作项目\012-千年寻缘\声音\苏珏参考音.mp3","男主音色参考","QNXY-VOI-P0-001-苏珏基础音色","QNXY-PKG-07","AI-02","苏珏归家段基础音色、呼吸与回应情绪参考","V1.0","MP3；约00:00:07；192kbps","183743","E4C58C78A88888DABF5BEBC6FEBD7D1A809F0FC21D9B12F73950ED233F246204","已登记（音色参考；非正式对白成品）","本段当前为远距离挥手回应，可无画内台词；参考音不替代动作声和环境声"
"QNXY-S3-AI02-REG-005","QNXY-REF-051","湖边的白鹭栖息地.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\湖边的白鹭栖息地.png","龙水湖与白鹭栖息地场景图A","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-ANM-P1-001-白鹭|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","湖面意境与白鹭生态建立镜头；允许与小院动作镜头跳切，不新增连接视图ID","V1.0","1672x941","2608201","6DAF65C0BA6CF9C3A162512295CBA5153E73D57B9B0B29567C66067D45412FBC","已登记（主创指定为本段意境输入）","只负责交代龙水湖清晨意境、层山岛群与白鹭生态；不要求证明与小院岸线连续，跳切时以同一清晨光雾、环境声和叙事顺序交代关系"
"QNXY-S3-AI02-REG-006","QNXY-REF-052","湖边的白鹭栖息地01.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\湖边的白鹭栖息地01.png","龙水湖与白鹭栖息地场景图B","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-ANM-P1-001-白鹭|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","湖面意境与白鹭起飞补充镜头；允许与小院动作镜头跳切，不新增连接视图ID","V1.0","1672x941","2481245","B0922EF02AAB6BBF92EA9B753E75502A5EA3C91F4660BA4800FA582153D68D7F","已登记（主创指定为本段意境输入）","用于补充湖道纵深和白鹭起飞层次；不承担小舟抵达小院的连续地理证明，镜头前后需保持清晨时段和湖面声场一致"
"QNXY-S3-AI02-REG-007","QNXY-REF-053","湖边小院 (2).png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\湖边小院 (2).png","湖边小院近垂直俯视图","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-MASTER（空间总览候选，不新增视图ID）","V1.0","1672x941","2800460","EAFB860E90AC8EF8A21D780A8CA7983F3AFD2F110FC3FB9D8138E9F6DD568756","已登记（主创指定为本段小院输入）","适合看小院与水体总关系；与其他小院图的房屋数量、岸线、围栏和台阶关系未完全一致"
"QNXY-S3-AI02-REG-008","QNXY-REF-054","湖边小院俯瞰.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\湖边小院俯瞰.png","湖边小院斜俯瞰全景","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-MASTER（主构图候选，不新增视图ID）","V1.0","1672x941","3077693","0D41FE4D0DB5E66E4E7B385061509B971097B170BC68D466D3ED0DB3F621DC35","已登记（主创指定为本段小院输入）","可承载远处小舟回家与小院同框；多栋房屋及花木密度须与院内图统一，避免地点漂移"
"QNXY-S3-AI02-REG-009","QNXY-REF-055","湖边小院内全.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\湖边小院内全.png","湖边小院院内全景","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-PRP-P1-004-竹篮药草与折衣组合|QNXY-LGT-P0-006-龙水湖清晨薄雾金光","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-EXIT-COURTYARD（院内整理药草至院门方向）","V1.0","1672x941","3173837","EC578215BABA93218495921B7F09ED163487FA5ECD22A3DD9B6A9ED1635D0867","已登记（主创指定为本段小院输入）","画面已有桌、筐罐和晒架，可作为整理药草环境；院门、湖岸台阶与人物跑动路线仍需锁定"
"QNXY-S3-AI02-REG-010","QNXY-REF-056","湖边小院湖边.png","D:\003-AI制作\002-制作项目\012-千年寻缘\图片\场景\湖边小院湖边.png","小院岸边望向湖面与固定停靠视图","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸|QNXY-LGT-P0-006-龙水湖清晨薄雾金光|QNXY-VEH-P0-001-南宋湖面小舟","QNXY-PKG-07","AI-02","QNXY-SCN-P0-005-南宋龙水湖湖面与青石岸-V-SHORE-TO-LAKE；小舟停靠位置固定于本场景","V1.0","2736x1536","8510947","B843D965D52EBA409A7A6CC40593B998A86369342B867489A2DA0151A65D2C24","已登记（主创指定为停靠场景）","女主在小舟仍处远湖时已经到院门并隔湖挥手；小舟随后接近、停稳及苏珏下船均以该岸边空间为准并由逐镜Prompt控制，不等待主创补图"
